University of Alaska,alaska.edu,AK
Alaska Christian College,alaskacc.edu,AK
National Park Community College,npcc.edu,AK
University of Alaska Fairbanks,uaf.edu,AK
University of Arkansas - Fort Smith,uafs.edu,AK
Alabama A&M University,aamu.edu,AL
Athens State University,athens.edu,AL
Auburn University,auburn.edu,AL
Auburn University at Montgomery,aum.edu,AL
Birmingham-Southern College,bsc.edu,AL
Calhoun Community College,calhoun.edu,AL
Enterprise State Community College,escc.edu,AL
Faulkner State Community College,faulknerstate.edu,AL
Gadsden State Community College,gadsdenstate.edu,AL
Huntingdon College,huntingdon.edu,AL
Jacksonville State University,jsu.edu,AL
Lurleen B. Wallace Community College,lbwcc.edu,AL
University of Montevallo,montevallo.edu,AL
Northeast Alabama Community College,nacc.edu,AL
Northwest-Shoals Community College,nwscc.edu,AL
Oakwood University,oakwood.edu,AL
Samford University,samford.edu,AL
Southeastern Bible College,sebc.edu,AL
University of South Alabama,southalabama.edu,AL
Trenholm State Technical College,trenholmstate.edu,AL
Troy University,troy.edu,AL
Tuskegee University,tuskegee.edu,AL
University of Alabama,ua.edu,AL
University of Alabama at Birmingham,uab.edu,AL
University of Alabama in Huntsville,uah.edu,AL
University of North Alabama,una.edu,AL
Snead State Community College,snead.edu,AL
Arkansas Northeastern College,anc.edu,AR
Arkansas State University,astate.edu,AR
Arkansas Tech University,atu.edu,AR
Central Baptist College,cbc.edu,AR
Harding University,harding.edu,AR
Hendrix College,hendrix.edu,AR
Henderson State University,hsu.edu,AR
John Brown University,jbu.edu,AR
Lyon College,lyon.edu,AR
Mid-South Community College,midsouthcc.edu,AR
North Arkansas College,northark.edu,AR
Northwest Arkansas Community College,nwacc.edu,AR
Northwest Technical Institute,nwti.edu,AR
Ouachita Baptist University,obu.edu,AR
University of the Ozarks,ozarks.edu,AR
Phillips Community College U of A,pccua.edu,AR
Pulaski Technical College,pulaskitech.edu,AR
Southern Arkansas University Magnolia,saumag.edu,AR
Southeast Arkansas College,seark.edu,AR
University of Arkansas Community College Batesville,uaccb.edu,AR
University of Arkansas at Little Rock,ualr.edu,AR
University of Arkansas for Medical Sciences,uams.edu,AR
University of Arkansas at Pine Bluff,uapb.edu,AR
University of Arkansas,uark.edu,AR
University of Central Arkansas,uca.edu,AR
Williams Baptist College,wbcoll.edu,AR
University of Arizona,arizona.edu,AZ
Arizona State University,asu.edu,AZ
Arizona Western College,azwestern.edu,AZ
Bryan University,bryanuniversity.edu,AZ
Central Arizona College,centralaz.edu,AZ
Glendale Community College,gccaz.edu,AZ
Grand Canyon University,gcu.edu,AZ
Maricopa Community Colleges,maricopa.edu,AZ
Mesa Community College,mesacc.edu,AZ
Northern Arizona University,nau.edu,AZ
Northland Pioneer College,npc.edu,AZ
University of Phoenix,phoenix.edu,AZ
Phoenix College,phoenixcollege.edu,AZ
Pima Community College,pima.edu,AZ
Prescott College,prescott.edu,AZ
Rio Salado College,riosalado.edu,AZ
South Mountain Community College,southmountaincc.edu,AZ
University of Advancing Technology,uat.edu,AZ
Yavapai College,yc.edu,AZ
Academy of Arts University,academyart.edu,CA
Adance Computing Institute,advancedcomputinginstitute.edu,CA
Acupuncture & Integrative Medicine College,aimc.edu,CA
Alliant International University,alliant.edu,CA
Allied American University,allied.edu,CA
Anaheim University,anaheim.edu,CA
Angeles College,angelescollege.edu,CA
Antioch University Los Angeles,antiochla.edu,CA
Argosy University,argosy.edu,CA
Art Center College of Design,artcenter.edu,CA
The Art Institute,artinstitutes.edu,CA
Ashford University,ashford.edu,CA
ATI College,ati.edu,CA
Antelope Valley College,avc.edu,CA
Bakersfield College,bakersfieldcollege.edu,CA
Barstow Community College,barstow.edu,CA
Berkeley University of California,berkeley.edu,CA
Berkeley City College,berkeleycitycollege.edu,CA
Brandman University,brandman.edu,CA
Butte College,butte.edu,CA
Cabrillo College,cabrillo.edu,CA
California Institute of the Arts,calarts.edu,CA
California Baptist University,calbaptist.edu,CA
California Lutheran University,callutheran.edu,CA
California Miramar University,calmu.edu,CA
California Polytechnic State University,calpoly.edu,CA
California State University,calstate.edu,CA
California Institute of Technology,caltech.edu,CA
Canada College,canadacollege.edu,CA
College of the Canyons,canyons.edu,CA
California College of the Arts,cca.edu,CA
California Community Colleges Chanellor's Office,cccco.edu,CA
City College of San Francisco,ccsf.edu,CA
Cerritos College,cerritos.edu,CA
Cerro Coso Community College,cerrocoso.edu,CA
Claremont Graduate University,cgu.edu,CA
Chaffey College,chaffey.edu,CA
Chapman University,chapman.edu,CA
California Institute of Integral Studies,ciis.edu,CA
Citrus College,citruscollege.edu,CA
The Claremont Colleges,claremont.edu,CA
Claremont McKenna College,cmc.edu,CA
Copper Mountain College,cmccd.edu,CA
Cogswell Polytechnical College,cogswell.edu,CA
College of San Mateo,collegeofsanmateo.edu,CA
College of the Desert,collegeofthedesert.edu,CA
El Camino College Compton Center,compton.edu,CA
Contra Costa College,contracosta.edu,CA
College of the Sequoias,cos.edu,CA
Crafton Hills College,craftonhills.edu,CA
California State University Bakersfield,csub.edu,CA
California State University Channel Islands,csuci.edu,CA
California State University Dominguez Hills,csudh.edu,CA
California State University East Bay,csueastbay.edu,CA
Fresno State,fresnostate.edu,CA
California State University Long Beach,csulb.edu,CA
California State University Monterey Bay,csumb.edu,CA
California State University Northridge,csun.edu,CA
California State Polytechnic University Pomona,csupomona.edu,CA
California State University Sacramento,csus.edu,CA
California State University San Bernardino,csusb.edu,CA
California State University San Marcos,csusm.edu,CA
California State University Stanislaus,csustan.edu,CA
Cuesta College,cuesta.edu,CA
Cuyamaca College,cuyamaca.edu,CA
California Western School of Law San Diego,cwsl.edu,CA
Cypress College,cypresscollege.edu,CA
DeAnza College,deanza.edu,CA
San Joaquin Delta College,deltacollege.edu,CA
Dominican University of California,dominican.edu,CA
Dominican School of Philosophy and Theology,dspt.edu,CA
Diablo Valley College,dvc.edu,CA
East Los Angeles College,elac.edu,CA
El Camino College,elcamino.edu,CA
Ex'pression College,expression.edu,CA
Foothill-De Anza Community College District,fhda.edu,CA
Fashion Institute of Design & Merchandising,fidm.edu,CA
Fielding Graduate University,fielding.edu,CA
Foothill College,foothill.edu,CA
Fresno Pacific University,fresno.edu,CA
Fresno City College,fresnocitycollege.edu,CA
Frederick Taylor University,ftu.edu,CA
Fullerton College,fullcoll.edu,CA
Fuller Theological Seminary,fuller.edu,CA
California State University Fullerton,fullerton.edu,CA
Gavilan College,gavilan.edu,CA
Golden Gate Baptist Theological Seminary,ggbts.edu,CA
Glendale Community College,glendale.edu,CA
Gnomon School of Visual Effects,gnomon.edu,CA
Columbia College,gocolumbia.edu,CA
Golden West College,goldenwestcollege.edu,CA
Grossmont College,grossmont.edu,CA
Allan Hancock College,hancockcollege.edu,CA
Hartnell College,hartnell.edu,CA
Henley-Putnam University,henley-putnam.edu,CA
Harvey Mudd College,hmc.edu,CA
Holy Names University,hnu.edu,CA
Humboldt State University,humboldt.edu,CA
Humphreys College,humphreys.edu,CA
Imperial Valley College,imperial.edu,CA
International Sports Sciences Association,issaonline.edu,CA
International Technological University,itu.edu,CA
Irvine Valley College,ivc.edu,CA
William Jessup University,jessup.edu,CA
John F. Kennedy University,jfku.edu,CA
Keck Graduate Institute,kgi.edu,CA
Mount Saint Mary's College,la.edu,CA
Los Angeles Community College District,laccd.edu,CA
Los Angeles City College,lacitycollege.edu,CA
Los Angeles Harbor College,lahc.edu,CA
Los Angeles Mission College,lamission.edu,CA
Laney College,laney.edu,CA
Los Angeles Southwest College,lasc.edu,CA
La Sierra University,lasierra.edu,CA
Las Positas College,laspositascollege.edu,CA
Los Angeles Trade-Tech Community College,lattc.edu,CA
Laurus College,lauruscollege.edu,CA
Los Angeles Valley College,lavc.edu,CA
University of La Verne,laverne.edu,CA
UCLA School of Law,ucla.edu,CA
Long Beach City College,lbcc.edu,CA
Life Chiropractic College West,lifewest.edu,CA
Loma Linda University,llu.edu,CA
Loyola Marymount University,lmu.edu,CA
Los Medanos College,losmedanos.edu,CA
Los Rios Community College District,losrios.edu,CA
Lake Tahoe Community College,ltcc.edu,CA
College of Marin,marin.edu,CA
Marymount California University,marymountcalifornia.edu,CA
The Master's College,masters.edu,CA
Merced Community College,mccd.edu,CA
Mills College,mills.edu,CA
MiraCosta College,miracosta.edu,CA
Modesto Junior College,mjc.edu,CA
Mount San Jacinto College,msjc.edu,CA
Mount San Antonio College,mtsac.edu,CA
Napa Valley College,napavalley.edu,CA
Notre Dame de Namur University,ndnu.edu,CA
NewSchool of Architecture and Design,newschoolarch.edu,CA
Norco College,norcocollege.edu,CA
Naval Postgraduate School,nps.edu,CA
Ohlone College,ohlone.edu,CA
Orange Coast College,orangecoastcollege.edu,CA
Otis College of Art and Design,otis.edu,CA
Occidental College,oxy.edu,CA
University of the Pacific,pacific.edu,CA
Pacific College of Oriental Medicine,pacificcollege.edu,CA
Palomar College,palomar.edu,CA
Pasadena City College,pasadena.edu,CA
Pepperdine University,pepperdine.edu,CA
Peralta Community College District,peralta.edu,CA
Pierce College,piercecollege.edu,CA
Pitzer College,pitzer.edu,CA
Pacific Lutheran Theological Seminary,plts.edu,CA
Point Loma Nazarene University,pointloma.edu,CA
Pomona College,pomona.edu,CA
Porterville College,portervillecollege.edu,CA
Pacific School of Religion,psr.edu,CA
Riverside City College,rcc.edu,CA
Riverside Community College District,rccd.edu,CA
University of Redlands,redlands.edu,CA
College of the Redwoods,redwoods.edu,CA
Rio Hondo College,riohondo.edu,CA
Rosemead College,rosemeadcollege.edu,CA
Santa Ana College,sac.edu,CA
Saddleback College,saddleback.edu,CA
University of San Diego,sandiego.edu,CA
Santa Rosa Junior College,santarosa.edu,CA
Santa Barbara City College,sbcc.edu,CA
School of Continuing Education,sce.edu,CA
Scripps College,scrippscollege.edu,CA
Santa Clara University,scu.edu,CA
Southern California University of Health Sciences,scuhs.edu,CA
San Diego City College,sdcity.edu,CA
San Diego Mesa College,sdmesa.edu,CA
San Diego State University,sdsu.edu,CA
San Francisco State University,sfsu.edu,CA
Shasta College,shastacollege.edu,CA
The Institute of Buddhist Studies,shin-ibs.edu,CA
Sierra College,sierracollege.edu,CA
Simpson University,simpsonu.edu,CA
College of the Siskiyous,siskiyous.edu,CA
San Jose State University,sjsu.edu,CA
Starr King School for the Ministry,sksm.edu,CA
Skyline College,skylinecollege.edu,CA
Santa Monica College,smc.edu,CA
San Mateo County Community College,smccd.edu,CA
Soka University of America,soka.edu,CA
Solano Community College,solano.edu,CA
Sonoma State University,sonoma.edu,CA
Stanford University,stanford.edu,CA
Saint Mary's College,stmarys-ca.edu,CA
Taft College,taftcollege.edu,CA
Touro University California,tu.edu,CA
University of California Davis,ucdavis.edu,CA
University of California Hastings College of the Law,uchastings.edu,CA
University of California Irvine,uci.edu,CA
University of California Los Angeles,ucla.edu,CA
University of California Los Angeles Extension,uclaextension.edu,CA
University of California Merced,ucmerced.edu,CA
